year,month,week,drug_class,claims_per_1000ppl
2011,9,37,Penicillins,2.8627056059080225
2011,9,37,Quinolones,1.4259818731117826
2011,9,37,Tetracyclines,0.7868412218865392
2011,9,38,Macrolides,2.9191003692514266
2011,9,38,Nitrofurans,0.338368580060423
2011,9,38,Penicillins,3.0748573346760657
2011,9,38,Quinolones,1.256797583081571
2011,9,38,Tetracyclines,0.7680429674387379
2011,9,39,Macrolides,3.2574689493118494
2011,9,39,Nitrofurans,0.287344746559248
2011,9,39,Penicillins,3.287009063444109
2011,9,39,Quinolones,1.41255454850621
2011,9,39,Tetracyclines,0.7250755287009063
2011,10,40,Macrolides,3.487874083195032
2011,10,40,Nitrofurans,0.39616681835216017
2011,10,40,Penicillins,3.3540339418598424
2011,10,40,Quinolones,1.456180737726859
2011,10,40,Tetracyclines,0.872637721505434
2011,10,41,Macrolides,3.038171208308796
2011,10,41,Nitrofurans,0.31050912789763907
2011,10,41,Penicillins,3.297821082499063
2011,10,41,Quinolones,1.2366829059371487
2011,10,41,Tetracyclines,0.722736763210022
2011,10,42,Macrolides,3.3620643503399537
2011,10,42,Nitrofurans,0.3212163392044542
2011,10,42,Penicillins,3.63509823866374
2011,10,42,Quinolones,1.3437550190053
2011,10,42,Tetracyclines,0.8351624819315808
2011,10,43,Macrolides,3.380801970126881
2011,10,43,Nitrofurans,0.323893142031158
2011,10,43,Penicillins,3.739493548905188
2011,10,43,Quinolones,1.3009261737780395
2011,10,43,Tetracyclines,0.8405160875849884
2011,10,44,Macrolides,3.7421703517318914
2011,10,44,Nitrofurans,0.33192355051126937
2011,10,44,Penicillins,3.945607366561379
2011,10,44,Quinolones,1.2795117511644092
2011,10,44,Tetracyclines,0.7762728197440977
2011,11,45,Macrolides,3.620690114184853
2011,11,45,Nitrofurans,0.37005582784683416
2011,11,45,Penicillins,3.852307790606971
2011,11,45,Quinolones,1.291201989249745
2011,11,45,Tetracyclines,0.8519270856905534
2011,11,46,Macrolides,3.958798676318291
2011,11,46,Nitrofurans,0.3327840178478725
2011,11,46,Penicillins,4.006719574888384
2011,11,46,Quinolones,1.4056796913894132
2011,11,46,Tetracyclines,0.8785498071183833
2011,11,47,Macrolides,3.0775865970571243
2011,11,47,Nitrofurans,0.3008367521344767
2011,11,47,Penicillins,3.186739754911226
2011,11,47,Quinolones,1.301851077820877
2011,11,47,Tetracyclines,0.6895284849807917
2011,11,48,Macrolides,4.201065441311542
2011,11,48,Nitrofurans,0.3274594735623065
2011,11,48,Penicillins,4.129184093456401
2011,11,48,Quinolones,1.3417851599626218
2011,11,48,Tetracyclines,0.8838743514039492
2011,12,49,Macrolides,4.025514422987442
2011,12,49,Nitrofurans,0.34033411237938743
2011,12,49,Penicillins,4.1930226189241715
2011,12,49,Quinolones,1.3959016328060814
2011,12,49,Tetracyclines,0.7763871938654776
2011,12,50,Macrolides,3.8260999040151447
2011,12,50,Nitrofurans,0.29779234833196405
2011,12,50,Penicillins,4.275447286766055
2011,12,50,Quinolones,1.4490788378653603
2011,12,50,Tetracyclines,0.7285277093121263
2011,12,51,Macrolides,4.2408821034775235
2011,12,51,Nitrofurans,0.3988290379445947
2011,12,51,Penicillins,4.179728317659353
2011,12,51,Quinolones,1.2257345766163876
2011,12,51,Tetracyclines,0.8774238834781083
2011,12,52,Macrolides,3.4777892108768658
2011,12,52,Nitrofurans,0.2871569073201081
2011,12,52,Penicillins,3.677203729849163
2011,12,52,Quinolones,1.0236611973911265
2011,12,52,Tetracyclines,0.5530429326165046
2012,1,1,Macrolides,3.941454783851883
2012,1,1,Nitrofurans,0.2975179629761275
2012,1,1,Penicillins,3.896695444289103
2012,1,1,Quinolones,1.1505783169961743
2012,1,1,Tetracyclines,0.6661242887872589
2012,1,2,Macrolides,4.220542430537455
2012,1,2,Nitrofurans,0.3264798885755735
2012,1,2,Penicillins,4.202112114246898
2012,1,2,Quinolones,1.4033369404095215
2012,1,2,Tetracyclines,0.8504274516928246
2012,1,3,Macrolides,3.41487431840741
2012,1,3,Nitrofurans,0.2975179629761275
2012,1,3,Penicillins,3.8071767651635424
2012,1,3,Quinolones,1.2400969961217347
2012,1,3,Tetracyclines,0.7187823353317061
2012,1,4,Macrolides,3.894062541961881
2012,1,4,Nitrofurans,0.3343785955572406
2012,1,4,Penicillins,4.286364988718014
2012,1,4,Quinolones,1.4612607916084135
2012,1,4,Tetracyclines,0.774073284203376
2012,1,5,Macrolides,4.136289556066338
2012,1,5,Nitrofurans,0.3080495722850169
2012,1,5,Penicillins,4.312694011990238
2012,1,5,Quinolones,1.3506788938650742
2012,1,5,Tetracyclines,0.7846048935122654
2012,2,6,Macrolides,3.917287774406008
2012,2,6,Nitrofurans,0.30293692122073135
2012,2,6,Penicillins,4.497046365018098
2012,2,6,Quinolones,1.3527700447615416
2012,2,6,Tetracyclines,0.7521192526859536
2012,2,7,Macrolides,3.8728918462960737
2012,2,7,Nitrofurans,0.33688674859891676
2012,2,7,Penicillins,4.209778594894991
2012,2,7,Quinolones,1.4206696995179124
2012,2,7,Tetracyclines,0.778234504515327
