drug_class,period,t,mean_deviate,sem
Nitrofurans,52,42,0.05359148763356057,0.01637145844757924
Nitrofurans,52,43,0.03005136844969324,0.01452759277511986
Nitrofurans,52,44,0.04537091240563375,0.011999566550435145
Nitrofurans,52,45,0.02488481729497597,0.016861070176551817
Nitrofurans,52,46,0.024657202993633,0.011146013317921082
Nitrofurans,52,47,6.003739473112168e-4,0.017156664992978302
Nitrofurans,52,48,-0.029640653888489354,0.018728590552882063
Nitrofurans,52,49,0.01776977659341884,0.00921469147178425
Nitrofurans,52,50,0.019083526048568666,0.01645423610871443
Nitrofurans,52,51,0.02566224827942688,0.01819249421528626
Nitrofurans,52,52,-0.06845837711768982,0.01258462709253086
Penicillins,52,1,0.5970478754687203,0.22253719008340964
Penicillins,52,2,0.9059120151979813,0.11253758597386286
Penicillins,52,3,0.501811249435941,0.09906307685623043
Penicillins,52,4,0.6539817931169465,0.13864303773189737
Penicillins,52,5,0.6216483041697219,0.1243166548568883
Penicillins,52,6,0.5562758193242343,0.23575543692076362
Penicillins,52,7,0.46344354490873424,0.2726867296890403
Penicillins,52,8,0.4578794142056424,0.10545672100781234
Penicillins,52,9,0.6431151255807837,0.10635978053105598
Penicillins,52,10,0.6139515970698305,0.046382552713034896
Penicillins,52,11,0.7855578278468662,0.031342125529923943
Penicillins,52,12,0.8444429958071835,0.08726641170240938
Penicillins,52,13,0.8749677623659078,0.08805748913977361
Penicillins,52,14,0.8846216506531881,0.07590665839846841
Penicillins,52,15,0.7525851892233534,0.1345553599028542
Penicillins,52,16,0.164108304473734,0.1109663406847267
Penicillins,52,17,0.20244903786169016,0.151820311365569
Penicillins,52,18,0.1279382218138184,0.09345881454542065
Penicillins,52,19,0.1346194348959231,0.04348286312414401
Penicillins,52,20,0.1555924856997299,0.0722614326136716
Penicillins,52,21,-0.05555113827526163,0.1087948113889412
Penicillins,52,22,-0.10985704762841397,0.1547806729133491
Penicillins,52,23,-0.017425102236691803,0.07357657537914104
Penicillins,52,24,-0.1817550512884493,0.036038391283337176
Penicillins,52,25,-0.2752820575581749,0.06371122378199955
Penicillins,52,26,-0.4388683606956896,0.07200153399781498
Penicillins,52,27,-0.9353943313447004,0.06742688542398395
Penicillins,52,28,-0.5843514244849914,0.10610576238749865
Penicillins,52,29,-0.624606480271973,0.08892329943642448
Penicillins,52,30,-0.707116675966388,0.10035639118990457
Penicillins,52,31,-0.7808663386896699,0.07673469280771258
Penicillins,52,32,-0.6687256236716153,0.03826658832719586
Penicillins,52,33,-0.7664747589805097,0.08274831915353688
Penicillins,52,34,-0.7195652024022418,0.038047726982963645
Penicillins,52,35,-1.0021009127328846,0.0894424861607499
Penicillins,52,36,-1.0647626767488039,0.10704143013906525
Penicillins,52,37,-0.7501347972618024,0.05394205492696196
Penicillins,52,38,-0.5613549373150067,0.06324714598317838
Penicillins,52,39,-0.38382977748209807,0.04347078598607766
Penicillins,52,40,-0.3601301908396605,0.046796304940906135
Penicillins,52,41,-0.5132220968727731,0.0440455373790549
Penicillins,52,42,-0.23091617607259077,0.055329008393967434
Penicillins,52,43,-0.14789489979245873,0.07174939020579635
Penicillins,52,44,-0.22911349249161567,0.1599447536910037
