organism,drug_code,week,type,mean_deviate
E. coli,CIP,15,Actual mean MIC seasonal deviate,0.0645095367185022
E. coli,CIP,15,Predicted mean MIC seasonal deviate,-0.011633961672020021
E. coli,CIP,16,Actual mean MIC seasonal deviate,0.06832796772133964
E. coli,CIP,16,Predicted mean MIC seasonal deviate,5.329727970450143e-4
E. coli,CIP,17,Actual mean MIC seasonal deviate,0.007265119244545951
E. coli,CIP,17,Predicted mean MIC seasonal deviate,-0.004707593573340557
E. coli,CIP,18,Actual mean MIC seasonal deviate,0.025391453045308557
E. coli,CIP,18,Predicted mean MIC seasonal deviate,-0.004085424253494088
E. coli,CIP,19,Actual mean MIC seasonal deviate,0.048080793801848626
E. coli,CIP,19,Predicted mean MIC seasonal deviate,-9.586053816384752e-4
E. coli,CIP,20,Actual mean MIC seasonal deviate,0.044783453054267466
E. coli,CIP,20,Predicted mean MIC seasonal deviate,-0.004996771682375943
E. coli,CIP,21,Actual mean MIC seasonal deviate,0.0693445626169368
E. coli,CIP,21,Predicted mean MIC seasonal deviate,0.009421564745371605
E. coli,CIP,22,Actual mean MIC seasonal deviate,0.03913999556530316
E. coli,CIP,22,Predicted mean MIC seasonal deviate,0.004196263395117108
E. coli,CIP,23,Actual mean MIC seasonal deviate,0.003717977634115294
E. coli,CIP,23,Predicted mean MIC seasonal deviate,-0.002794803756340485
E. coli,CIP,24,Actual mean MIC seasonal deviate,-0.01967179307032187
E. coli,CIP,24,Predicted mean MIC seasonal deviate,-0.006212877328821588
E. coli,CIP,25,Actual mean MIC seasonal deviate,0.04060697493741221
E. coli,CIP,25,Predicted mean MIC seasonal deviate,0.008205849326058818
E. coli,CIP,26,Actual mean MIC seasonal deviate,-0.057679040718221795
E. coli,CIP,26,Predicted mean MIC seasonal deviate,-0.008955809065252616
E. coli,CIP,27,Actual mean MIC seasonal deviate,0.03402238882246722
E. coli,CIP,27,Predicted mean MIC seasonal deviate,0.015481341378367963
E. coli,CIP,28,Actual mean MIC seasonal deviate,-0.0053596144271031735
E. coli,CIP,28,Predicted mean MIC seasonal deviate,-0.008682416689697305
E. coli,CIP,29,Actual mean MIC seasonal deviate,-0.0011784025462956266
E. coli,CIP,29,Predicted mean MIC seasonal deviate,-0.01592454261145803
E. coli,CIP,30,Actual mean MIC seasonal deviate,-0.024987305937404815
E. coli,CIP,30,Predicted mean MIC seasonal deviate,-0.006995206227241838
E. coli,CIP,31,Actual mean MIC seasonal deviate,-0.06114426727822335
E. coli,CIP,31,Predicted mean MIC seasonal deviate,-0.0012016371458941134
E. coli,CIP,32,Actual mean MIC seasonal deviate,-0.07771804049610795
E. coli,CIP,32,Predicted mean MIC seasonal deviate,-0.01704857553334772
E. coli,CIP,33,Actual mean MIC seasonal deviate,-0.08924682484477618
E. coli,CIP,33,Predicted mean MIC seasonal deviate,-0.0068596619489956785
E. coli,CIP,34,Actual mean MIC seasonal deviate,-0.03385207176928349
E. coli,CIP,34,Predicted mean MIC seasonal deviate,0.0018478089974982683
E. coli,CIP,35,Actual mean MIC seasonal deviate,-0.053257128012257744
E. coli,CIP,35,Predicted mean MIC seasonal deviate,-0.00880364853784987
E. coli,CIP,36,Actual mean MIC seasonal deviate,-0.06168292003498079
E. coli,CIP,36,Predicted mean MIC seasonal deviate,-0.01738446740967213
E. coli,CIP,37,Actual mean MIC seasonal deviate,-0.07256300805544195
E. coli,CIP,37,Predicted mean MIC seasonal deviate,-0.0185944407141474
E. coli,CIP,38,Actual mean MIC seasonal deviate,-0.09422259091865685
E. coli,CIP,38,Predicted mean MIC seasonal deviate,-0.011709737467393988
E. coli,CIP,39,Actual mean MIC seasonal deviate,-0.029121029665231085
E. coli,CIP,39,Predicted mean MIC seasonal deviate,-0.009506266067601462
E. coli,CIP,40,Actual mean MIC seasonal deviate,-0.03563425064156774
