organism,drugA,drugB,drugB_pheno,period,omega,AIC,term,hos_year,estimate,ci.lower,ci.upper,std.error,statistic,p.value,p.value.BH
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,slope,MGH_2008,-8.561547334111909e-4,-0.004504456184488864,0.002792146717666482,0.001861412495257571,-0.4599489557486404,0.6455579183315457,0.880719342397855
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,slope,MGH_2009,-0.003210518768636745,-0.006856348459102287,4.353109218287977e-4,0.0018601513697309659,-1.725944899366487,0.08437295288483922,0.3136287541577862
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,slope,MGH_2010,-0.0045008606582274445,-0.008123580678141586,-8.781406383133019e-4,0.0018483605048305464,-2.435055632526661,0.014898282862504912,0.08182937452838518
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,slope,MGH_2011,-6.600609720925967e-4,-0.003992907285308211,0.0026727853411230174,0.0017004630388643268,-0.3881654331830851,0.6978977919672217,0.8920284428556615
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,slope,MGH_2012,-0.0018359573709354935,-0.005110552744879726,0.0014386380030087383,0.0016707426257695668,-1.0988870114508669,0.2718307365649856,0.5604071037417117
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,slope,MGH_2013,-0.0025855073123347877,-0.005932872318739466,7.618576940698904e-4,0.0017078706715063477,-1.5138776931243638,0.13007285090956253,0.39512571078198394
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,slope,MGH_2014,-1.7256321787084464e-4,-0.003522279666055285,0.0031771532303135953,0.001709070408745557,-0.10096905135552874,0.919576052071172,0.9502225293492647
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,slope,MGH_2015,0.002186069375638188,-0.0011169394028621685,0.005489078154138545,0.001685239527131146,1.2971861509560163,0.1945822842658909,0.49726583756838777
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,slope,MGH_2016,-5.7133529751493937e-5,-0.0031581732740200343,0.0030439062145170464,0.0015821922079839973,-0.036110359704205924,0.9711947264960272,0.98376638365073
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,intercept,BWH_2013,-1.9352380378432543,-2.2122509398395795,-1.658225135846929,0.14133571034027545,-13.692491679449132,1.7594156914853874e-42,2.970022818654232e-42
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,intercept,BWH_2014,-1.8811317262921547,-2.0186591346314855,-1.743604317952824,0.07016833443069846,-26.808841075600114,1.5287730837210144e-155,3.108223728228361e-155
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,intercept,BWH_2015,-1.7328621763530987,-1.878509554079129,-1.5872147986270684,0.07431125208160881,-23.318974284675825,1.1353372541778272e-118,2.176063070507502e-118
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,intercept,BWH_2016,-1.788659548868676,-1.922819500420581,-1.654499597316771,0.06845021266214152,-26.130810691519574,5.2799367078211925e-148,1.061757764195737e-147
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,intercept,BWH_2017,-1.8008684481325474,-1.9255063145351643,-1.6762305817299306,0.06359191668099236,-28.31914089280513,5.6429699231827056e-173,1.1866359609892775e-172
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,intercept,BWH_2018,-1.6128771049681803,-1.747046353339941,-1.4787078565964196,0.06845495602473858,-23.561144417145062,4.489341906166445e-121,8.695146428785535e-121
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,intercept,BWH_2019,-1.784441231983069,-1.9084633429991953,-1.6604191209669426,0.06327774999663109,-28.20013720585945,1.4357472926158382e-171,3.0020170663785705e-171
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,intercept,MGH_2007,-1.4365785443557941,-1.5499255093016144,-1.3232315794099738,0.05783114681692461,-24.84091399576692,3.684871599732361e-134,7.2904986489328435e-134
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,intercept,MGH_2008,-1.6940876994676777,-1.8043663140209452,-1.5838090849144102,0.056265633156084065,-30.1087467507596,9.1425511613132e-195,1.956080713583289e-194
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,intercept,MGH_2009,-1.5921511828079933,-1.7051683787450957,-1.4791339868708908,0.057662894231000045,-27.61136436249223,1.0737743164318318e-164,2.219937912623113e-164
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,intercept,MGH_2010,-1.6055150602904094,-1.7184029170440178,-1.492627203536801,0.057596903639073764,-27.875023809460952,9.316565266960816e-168,1.937003400136486e-167
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,intercept,MGH_2011,-1.698257605438592,-1.8017738186913752,-1.594741392185809,0.052815365011452155,-32.15461267891176,3.691718027899399e-221,8.086620442065352e-221
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,intercept,MGH_2012,-1.6440968697829963,-1.7440274335475123,-1.5441663060184803,0.0509859183907233,-32.24609699454063,2.2411197457526214e-222,4.968265460463643e-222
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,intercept,MGH_2013,-1.6322634159017166,-1.7343498678301086,-1.5301769639733247,0.05208588154355731,-31.33792435742344,1.9560904265614514e-210,4.234360452791847e-210
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,intercept,MGH_2014,-1.791043475801515,-1.8934051515098447,-1.6886818000931854,0.05222630441974721,-34.293896451235526,2.0272465842780327e-250,4.633706478349789e-250
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,intercept,MGH_2015,-1.846993162949204,-1.9518258614303652,-1.7421604644680428,0.05348705349081313,-34.53159301935451,8.962753520312932e-254,2.0743982990409805e-253
K. pneumoniae,CIP,AMC,S,52,0.1208304866765305,51957.83940424247,intercept,MGH_2016,-1.734853112057102,-1.8301891077593762,-1.6395171163548279,0.048641707936611274,-35.665957994688874,4.597678071840328e-270,1.0708516015425574e-269
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,amplitude,NA,0.14054119486512962,-0.01789169358119999,0.29897408331145925,0.08083459170475991,1.7386268910523104,0.08234821295479779,0.10401879531132352
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,phase,NA,10.359538561088641,3.7359547524954877,16.983122369681794,3.3794415922124763,33.83977365509636,2.0061525546507007e-178,9.629532262323363e-178
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,slope,BWH_2013,0.04588667714605265,-0.3894997991219923,0.4812731534140976,0.22214003915496308,0.20656644034370805,0.8363823291294379,0.9383742373256795
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,slope,MGH_2007,0.022858461682644663,0.002341269201438966,0.04337565416385036,0.010468147702224479,2.1836204773636547,0.02917675350272506,0.14316060385337095
